# vision_rec team=blue id=15 addr=224.5.23.2:10006
arrival_mono_ns,t_capture_s,t_sent_s,camera,x_mm,y_mm,theta_rad,confidence
23518989280589,1790087498.138013,1790087498.141873,0,-609.83,430.69,-1.27026,0.788
23518989286268,1790087498.146489,1790087498.150580,0,-609.85,430.43,-1.27020,0.798
23518989291521,1790087498.155208,1790087498.160571,0,-609.41,430.26,-1.26174,0.824
23518989296814,1790087498.163458,1790087498.167422,0,-609.91,430.64,-1.27233,0.792
23518989322496,1790087498.171820,1790087498.175690,0,-609.49,430.30,-1.26156,0.803
23518989330542,1790087498.180290,1790087498.184166,0,-608.82,431.27,-1.27303,0.839
23518989338007,1790087498.188912,1790087498.193480,0,-609.79,430.60,-1.27247,0.787
23519192868584,1790087498.298569,1790087498.302865,0,-609.72,430.66,-1.27081,0.786
23519192926936,1790087498.307012,1790087498.310867,0,-609.67,430.48,-1.26905,0.806
23519192935123,1790087498.315468,1790087498.319510,0,-609.60,430.47,-1.26333,0.803
23519192941555,1790087498.323997,1790087498.328493,0,-609.44,430.25,-1.26255,0.834
23519193070447,1790087498.332359,1790087498.336386,0,-609.86,430.60,-1.27463,0.778
23519193076773,1790087498.340806,1790087498.344629,0,-609.57,430.75,-1.26989,0.804
23519193083151,1790087498.349259,1790087498.353239,0,-609.53,431.15,-1.27489,0.807
23519193089626,1790087498.357744,1790087498.361857,0,-609.60,430.53,-1.26221,0.803
23519193095437,1790087498.366171,1790087498.370360,0,-609.79,430.75,-1.27373,0.793
23519193101182,1790087498.374603,1790087498.378468,0,-609.91,430.93,-1.27627,0.781
23519193107339,1790087498.383089,1790087498.386929,0,-609.87,430.65,-1.27075,0.798
23519399208733,1790087498.501338,1790087498.505383,0,-609.56,430.34,-1.26494,0.798
23519399259895,1790087498.509739,1790087498.513548,0,-609.61,430.41,-1.26501,0.808
23519399268236,1790087498.518275,1790087498.522612,0,-609.76,430.70,-1.27282,0.774
23519399274931,1790087498.526664,1790087498.530532,0,-609.98,430.64,-1.27183,0.779
23519399282352,1790087498.535133,1790087498.539293,0,-609.35,430.42,-1.26158,0.824
23519399305060,1790087498.543575,1790087498.547590,0,-609.67,430.69,-1.26698,0.801
23519399317413,1790087498.552023,1790087498.556387,0,-609.83,430.93,-1.27205,0.791
23519399323272,1790087498.560459,1790087498.564365,0,-610.02,430.61,-1.26930,0.801
23519399338805,1790087498.568951,1790087498.573162,0,-610.30,430.83,-1.27688,0.770
