# vision_rec team=blue id=15 addr=224.5.23.2:10006
arrival_mono_ns,t_capture_s,t_sent_s,camera,x_mm,y_mm,theta_rad,confidence
23494202366547,1790087473.390372,1790087473.394398,0,-594.06,584.68,-0.93802,0.845
23494202373532,1790087473.398799,1790087473.402779,0,-594.17,584.61,-0.93717,0.876
23494203045793,1790087473.407288,1790087473.411701,0,-594.09,584.73,-0.93843,0.865
23494300200488,1790087473.415753,1790087473.419758,0,-594.04,584.52,-0.93920,0.873
23494300286338,1790087473.424153,1790087473.428175,0,-594.00,584.44,-0.93718,0.877
23494302106020,1790087473.432600,1790087473.436820,0,-594.05,584.24,-0.93397,0.868
23494302150585,1790087473.441081,1790087473.445147,0,-594.10,584.47,-0.93999,0.884
23494302159378,1790087473.449477,1790087473.453425,0,-594.08,584.45,-0.93566,0.853
23494302166300,1790087473.457943,1790087473.461842,0,-593.97,584.57,-0.93899,0.866
23494303775132,1790087473.466389,1790087473.470303,0,-594.23,584.63,-0.93688,0.868
23494303819070,1790087473.474834,1790087473.478884,0,-594.14,584.43,-0.94283,0.893
23494303828557,1790087473.483276,1790087473.487356,0,-593.96,584.59,-0.93901,0.869
23494304798380,1790087473.491731,1790087473.496056,0,-594.06,584.54,-0.93590,0.872
23494304839543,1790087473.500252,1790087473.504374,0,-594.09,584.61,-0.93717,0.870
23494402802542,1790087473.508715,1790087473.512860,0,-593.98,584.52,-0.93877,0.865
23494402850325,1790087473.517087,1790087473.520893,0,-594.10,584.87,-0.94184,0.855
23494402883645,1790087473.525546,1790087473.529608,0,-594.12,584.53,-0.93605,0.860
23494405206133,1790087473.534048,1790087473.538036,0,-593.96,584.41,-0.93484,0.851
23494405235442,1790087473.542387,1790087473.546544,0,-594.14,584.62,-0.93771,0.866
23494406620811,1790087473.550946,1790087473.555218,0,-594.14,584.57,-0.93561,0.871
23494406634354,1790087473.559382,1790087473.563654,0,-594.10,584.49,-0.93837,0.876
23494407962085,1790087473.567802,1790087473.572104,0,-594.11,584.30,-0.93234,0.863
23494407999668,1790087473.576359,1790087473.580566,0,-594.09,584.48,-0.93892,0.870
23494408016591,1790087473.584694,1790087473.589063,0,-594.00,584.24,-0.93408,0.846
23494410590302,1790087473.593211,1790087473.597296,0,-594.00,584.01,-0.93465,0.890
23494410623086,1790087473.601614,1790087473.605682,0,-593.93,583.94,-0.93459,0.887
23494503401279,1790087473.610119,1790087473.616433,0,-593.85,583.81,-0.93258,0.884
23494503467892,1790087473.618559,1790087473.622814,0,-593.75,583.37,-0.93635,0.892
23494505409001,1790087473.626965,1790087473.630966,0,-593.86,583.67,-0.93431,0.900
23494505456155,1790087473.635438,1790087473.639431,0,-594.07,583.93,-0.93061,0.869
23494507286735,1790087473.643878,1790087473.649821,0,-593.92,584.47,-0.93480,0.866
23494507354259,1790087473.652292,1790087473.656698,0,-594.19,584.60,-0.93751,0.878
23494507390862,1790087473.660757,1790087473.664758,0,-594.30,584.86,-0.93556,0.867
23494509373828,1790087473.669248,1790087473.673266,0,-594.18,584.87,-0.93623,0.864
23494509402564,1790087473.677658,1790087473.683873,0,-594.36,585.25,-0.93709,0.839
23494509411529,1790087473.686237,1790087473.690425,0,-594.55,585.12,-0.93635,0.861
23494510779991,1790087473.694550,1790087473.698520,0,-594.54,585.18,-0.93799,0.853
23494510807550,1790087473.703000,1790087473.707234,0,-594.44,585.12,-0.93981,0.847
23494510816325,1790087473.711650,1790087473.717271,0,-594.20,584.99,-0.94232,0.865
23494607595391,1790087473.719872,1790087473.723768,0,-594.03,584.44,-0.94221,0.879
23494607727956,1790087473.728347,1790087473.732277,0,-593.78,583.45,-0.93857,0.882
23494607741194,1790087473.736812,1790087473.740815,0,-593.09,583.53,-0.93639,0.848
23494610033888,1790087473.745503,1790087473.750672,0,-592.72,583.11,-0.93545,0.830
23494610121905,1790087473.753727,1790087473.757916,0,-592.91,581.65,-0.91768,0.854
23494610145003,1790087473.762195,1790087473.766325,0,-592.56,581.38,-0.91672,0.858
23494611053194,1790087473.770624,1790087473.774653,0,-591.36,581.79,-0.92737,0.859
23494611113434,1790087473.779343,1790087473.784469,0,-591.59,581.11,-0.92368,0.878
23494611124573,1790087473.787553,1790087473.791439,0,-590.85,580.64,-0.92034,0.887
23494613150291,1790087473.795967,1790087473.799952,0,-590.14,580.11,-0.91749,0.856
23494613184381,1790087473.804397,1790087473.808422,0,-589.08,579.16,-0.91190,0.852
23494613193738,1790087473.813026,1790087473.817527,0,-588.63,578.44,-0.90420,0.856
23494708209868,1790087473.821332,1790087473.825346,0,-588.13,577.90,-0.89940,0.895
23494711458403,1790087473.846708,1790087473.850875,0,-586.81,574.36,-0.91050,0.921
23494711475424,1790087473.855125,1790087473.858996,0,-586.45,573.61,-0.90824,0.936
23494711484613,1790087473.863574,1790087473.867668,0,-584.20,573.15,-0.90829,0.895
23494713065810,1790087473.872311,1790087473.876705,0,-582.45,571.91,-0.89394,0.880
23494713106257,1790087473.880742,1790087473.885882,0,-581.71,570.67,-0.89913,0.895
23494713117360,1790087473.889001,1790087473.893188,0,-581.06,568.91,-0.91085,0.924
23494714962690,1790087473.897407,1790087473.901712,0,-580.36,567.59,-0.91283,0.922
23494714994760,1790087473.905816,1790087473.909957,0,-579.15,566.30,-0.92336,0.913
23494715019372,1790087473.914316,1790087473.918859,0,-577.42,564.75,-0.91213,0.906
23494811948706,1790087473.922696,1790087473.926757,0,-576.34,562.79,-0.89830,0.845
23494812015118,1790087473.931141,1790087473.935031,0,-575.28,561.90,-0.91499,0.847
23494812025740,1790087473.939607,1790087473.943787,0,-574.26,560.51,-0.92441,0.852
23494814539873,1790087473.964959,1790087473.969558,0,-571.22,554.79,-0.93720,0.842
23494816267574,1790087473.973436,1790087473.977488,0,-570.30,553.24,-0.93786,0.824
23494816297654,1790087473.981909,1790087473.988123,0,-567.95,551.80,-0.94741,0.879
23494816317010,1790087473.990428,1790087473.995110,0,-566.89,549.37,-0.94633,0.931
23494818089179,1790087473.998759,1790087474.003053,0,-566.19,546.49,-0.95960,0.938
23494818117895,1790087474.015646,1790087474.020154,0,-562.20,544.67,-0.96492,0.840
23494914540078,1790087474.024111,1790087474.028180,0,-561.17,542.76,-0.98342,0.870
23494914609729,1790087474.032552,1790087474.036507,0,-560.22,539.94,-0.97502,0.914
23494914621643,1790087474.040998,1790087474.044838,0,-558.78,539.39,-0.97663,0.866
23494916285789,1790087474.049545,1790087474.053609,0,-557.17,538.43,-0.96666,0.821
23494916326278,1790087474.057910,1790087474.062075,0,-556.16,537.28,-0.96031,0.858
23494916335104,1790087474.066347,1790087474.070678,0,-555.48,536.28,-0.95819,0.873
23494918018575,1790087474.074813,1790087474.079223,0,-554.55,534.14,-0.93906,0.880
23494918062032,1790087474.083241,1790087474.087277,0,-553.33,533.00,-0.95509,0.881
23494918069406,1790087474.091682,1790087474.095740,0,-552.69,531.39,-0.95877,0.899
23494919732013,1790087474.100138,1790087474.104062,0,-551.68,530.02,-0.95754,0.854
23494919788292,1790087474.108590,1790087474.112493,0,-551.22,528.12,-0.93140,0.875
23494919800001,1790087474.117071,1790087474.121059,0,-550.48,527.10,-0.92999,0.854
23495016913694,1790087474.125490,1790087474.129475,0,-549.22,526.29,-0.92153,0.857
23495016974517,1790087474.133934,1790087474.138117,0,-547.97,525.49,-0.91428,0.862
23495016984840,1790087474.142375,1790087474.146981,0,-547.47,525.26,-0.92143,0.931
23495020484761,1790087474.176241,1790087474.180518,0,-546.52,520.00,-0.91920,0.950
23495020521494,1790087474.184652,1790087474.188772,0,-545.72,519.06,-0.90290,0.938
23495020531119,1790087474.193164,1790087474.197214,0,-543.97,518.83,-0.90527,0.885
23495022313125,1790087474.201506,1790087474.205743,0,-543.20,517.86,-0.91212,0.901
23495022332521,1790087474.209983,1790087474.214280,0,-542.82,516.90,-0.91507,0.895
23495022340224,1790087474.218445,1790087474.222440,0,-541.93,516.44,-0.90585,0.848
23495119590395,1790087474.226930,1790087474.230891,0,-541.87,515.49,-0.91176,0.844
23495119676185,1790087474.235354,1790087474.239474,0,-541.48,515.55,-0.91608,0.869
23495119684212,1790087474.243799,1790087474.248510,0,-541.45,514.94,-0.91752,0.889
23495119691095,1790087474.252274,1790087474.256273,0,-540.80,515.02,-0.91895,0.904
23495121225330,1790087474.269144,1790087474.273208,0,-540.56,513.57,-0.93183,0.935
23495123094506,1790087474.277560,1790087474.281748,0,-540.19,513.35,-0.93580,0.921
23495123111253,1790087474.286029,1790087474.290021,0,-540.30,512.70,-0.94869,0.899
23495123119604,1790087474.294527,1790087474.298662,0,-540.34,512.45,-0.95412,0.887
23495125019651,1790087474.302924,1790087474.307159,0,-539.88,512.55,-0.96671,0.914
23495125029221,1790087474.311397,1790087474.315597,0,-539.31,512.25,-0.96818,0.914
23495125035627,1790087474.319828,1790087474.323692,0,-538.71,512.09,-0.96988,0.857
23495222174851,1790087474.328319,1790087474.332234,0,-538.04,511.85,-0.97152,0.782
23495222240249,1790087474.336722,1790087474.340659,0,-536.74,511.52,-0.97020,0.819
23495222246194,1790087474.345144,1790087474.349798,0,-535.92,511.26,-0.97316,0.858
23495222249296,1790087474.353617,1790087474.357594,0,-534.95,510.38,-0.98028,0.891
23495223448654,1790087474.362079,1790087474.366266,0,-534.58,509.63,-0.99593,0.875
23495223473985,1790087474.370506,1790087474.374611,0,-534.06,507.34,-0.97957,0.912
23495225235560,1790087474.378970,1790087474.383596,0,-533.54,505.88,-0.98140,0.932
23495225283709,1790087474.387428,1790087474.391687,0,-532.28,505.26,-0.98316,0.838
23495225294509,1790087474.395875,1790087474.399933,0,-531.32,504.26,-0.97548,0.933
23495226895888,1790087474.404360,1790087474.408481,0,-529.63,503.86,-0.96925,0.907
23495226964087,1790087474.412777,1790087474.417971,0,-528.42,501.40,-0.97364,0.919
23495226980005,1790087474.421245,1790087474.425220,0,-527.66,499.10,-0.97516,0.927
23495228083037,1790087474.429656,1790087474.434007,0,-526.66,497.96,-0.97519,0.932
23495323990156,1790087474.438159,1790087474.442212,0,-525.69,496.63,-0.97495,0.923
23495324067968,1790087474.455019,1790087474.459255,0,-523.69,493.02,-0.95743,0.807
23495325079437,1790087474.463471,1790087474.467687,0,-522.40,491.90,-0.96299,0.895
23495325111001,1790087474.472244,1790087474.477789,0,-520.51,491.06,-0.98422,0.919
23495326996846,1790087474.480866,1790087474.486435,0,-519.95,488.69,-0.99299,0.924
23495327038751,1790087474.488992,1790087474.493229,0,-519.28,485.94,-0.98482,0.928
23495327048381,1790087474.497282,1790087474.501345,0,-518.02,485.02,-0.98508,0.812
23495328722663,1790087474.505708,1790087474.509677,0,-515.46,484.38,-0.99318,0.851
23495328749869,1790087474.514486,1790087474.519998,0,-513.98,482.52,-1.00553,0.925
23495328758597,1790087474.522600,1790087474.526618,0,-513.33,479.96,-0.99686,0.894
23495427576781,1790087474.531073,1790087474.534953,0,-512.48,478.17,-0.99726,0.961
23495427629548,1790087474.539421,1790087474.543534,0,-509.58,476.80,-0.99118,0.905
23495427638364,1790087474.548336,1790087474.553642,0,-507.96,475.81,-1.00548,0.957
23495429344292,1790087474.556387,1790087474.560470,0,-507.22,472.66,-1.00246,0.921
23495429367723,1790087474.564842,1790087474.568985,0,-506.50,471.13,-0.98920,0.939
23495429375754,1790087474.573302,1790087474.577226,0,-504.71,468.80,-0.97372,0.863
23495431312317,1790087474.581850,1790087474.587841,0,-503.74,466.63,-0.95059,0.807
23495431345029,1790087474.590435,1790087474.594504,0,-501.26,464.90,-0.95821,0.869
23495431354060,1790087474.598646,1790087474.602732,0,-499.47,462.96,-0.93465,0.913
23495432891613,1790087474.607465,1790087474.612242,0,-498.61,460.25,-0.92128,0.855
23495432924216,1790087474.616199,1790087474.621407,0,-496.46,458.57,-0.90970,0.827
23495432956383,1790087474.624093,1790087474.628661,0,-493.81,457.34,-0.90144,0.918
23495435386113,1790087474.632440,1790087474.636478,0,-493.27,454.32,-0.90466,0.930
23495529343103,1790087474.640896,1790087474.645038,0,-491.70,452.25,-0.90538,0.886
23495529391842,1790087474.649445,1790087474.653722,0,-490.78,451.11,-0.90348,0.832
23495529400623,1790087474.657799,1790087474.661929,0,-488.91,449.70,-0.90772,0.887
23495529406900,1790087474.666295,1790087474.670257,0,-488.21,448.12,-0.91686,0.937
23495531707041,1790087474.674688,1790087474.678688,0,-487.14,446.52,-0.93259,0.902
23495531737894,1790087474.683166,1790087474.687290,0,-486.28,445.95,-0.95102,0.924
23495531746830,1790087474.691580,1790087474.695540,0,-485.77,444.27,-0.97381,0.934
23495531767577,1790087474.700028,1790087474.704056,0,-484.95,443.80,-0.98905,0.924
23495533387833,1790087474.708437,1790087474.712504,0,-484.38,443.10,-1.01454,0.909
23495533398126,1790087474.717013,1790087474.720974,0,-484.68,442.80,-1.02806,0.917
23495533404374,1790087474.725379,1790087474.729308,0,-483.17,442.41,-1.03415,0.855
23495631504867,1790087474.733827,1790087474.737832,0,-483.89,441.13,-1.05348,0.816
23495631545239,1790087474.742282,1790087474.746395,0,-482.84,441.66,-1.05159,0.867
23495631556224,1790087474.750784,1790087474.754708,0,-483.48,440.22,-1.07201,0.826
23495631561817,1790087474.759249,1790087474.763272,0,-483.19,439.28,-1.08617,0.885
23495632558216,1790087474.767624,1790087474.771881,0,-482.26,438.74,-1.08106,0.897
23495632600517,1790087474.776136,1790087474.780122,0,-481.88,438.09,-1.06732,0.873
23495635092164,1790087474.784540,1790087474.789331,0,-481.17,437.75,-1.05535,0.859
23495635125926,1790087474.792981,1790087474.797113,0,-480.44,437.06,-1.04695,0.858
23495635138037,1790087474.801394,1790087474.805628,0,-480.06,436.32,-1.03417,0.846
23495635146464,1790087474.809925,1790087474.813847,0,-479.85,435.42,-1.02649,0.872
23495636302003,1790087474.818429,1790087474.822627,0,-479.34,433.81,-1.01929,0.845
23495636329800,1790087474.826790,1790087474.831076,0,-478.04,432.78,-0.99528,0.868
23495639084846,1790087474.835250,1790087474.839379,0,-477.42,432.65,-0.99575,0.915
23495734157180,1790087474.843624,1790087474.847587,0,-477.01,431.69,-0.97512,0.915
23495734244823,1790087474.852129,1790087474.856403,0,-475.99,431.52,-0.96793,0.908
23495734254514,1790087474.860563,1790087474.864534,0,-475.13,431.38,-0.96949,0.902
23495734261362,1790087474.869056,1790087474.873044,0,-474.36,430.95,-0.98093,0.934
23495736829977,1790087474.885870,1790087474.889853,0,-473.23,430.52,-0.99473,0.919
