# vision_rec team=blue id=15 addr=224.5.23.2:10006
arrival_mono_ns,t_capture_s,t_sent_s,camera,x_mm,y_mm,theta_rad,confidence
23534758684525,1790087513.946403,1790087513.950345,0,-358.25,876.65,-1.40449,0.844
23534963319135,1790087514.140720,1790087514.144549,0,-440.00,881.12,-1.67715,0.702
23534963388204,1790087514.149191,1790087514.153347,0,-441.85,883.20,-1.66798,0.733
23534963397951,1790087514.157634,1790087514.161875,0,-444.55,881.72,-1.70790,0.756
23535166886733,1790087514.275900,1790087514.279858,0,-471.83,880.13,-1.56836,0.743
23535167085767,1790087514.284391,1790087514.288415,0,-474.55,880.80,-1.52638,0.721
23535167091522,1790087514.292833,1790087514.296748,0,-475.44,879.30,-1.52469,0.742
23535167095691,1790087514.301285,1790087514.306339,0,-478.88,878.02,-1.51862,0.788
23535167099401,1790087514.309739,1790087514.313802,0,-480.44,877.39,-1.49822,0.748
23535167103057,1790087514.318149,1790087514.322225,0,-483.05,876.74,-1.47085,0.760
23535167107009,1790087514.326611,1790087514.330918,0,-485.09,875.59,-1.46918,0.799
23535167110667,1790087514.335073,1790087514.341004,0,-486.35,875.06,-1.44960,0.791
23535167114602,1790087514.343490,1790087514.347815,0,-488.20,875.02,-1.43333,0.821
23535167118173,1790087514.351989,1790087514.356484,0,-491.05,873.48,-1.41759,0.777
23535167121941,1790087514.360403,1790087514.364454,0,-492.81,871.74,-1.39217,0.802
23535371591726,1790087514.478696,1790087514.482869,0,-521.70,838.63,-1.24147,0.779
23535371648054,1790087514.487139,1790087514.491210,0,-524.87,835.06,-1.26236,0.844
23535371656765,1790087514.495612,1790087514.499859,0,-527.59,831.79,-1.22960,0.838
23535371664805,1790087514.504329,1790087514.509192,0,-530.10,828.25,-1.22350,0.837
23535371673225,1790087514.512483,1790087514.516475,0,-533.08,824.38,-1.21187,0.827
23535371679177,1790087514.520962,1790087514.524893,0,-533.76,822.09,-1.20011,0.867
23535371684498,1790087514.529385,1790087514.533785,0,-535.62,818.14,-1.19461,0.792
23535371690645,1790087514.537883,1790087514.542218,0,-538.07,814.10,-1.19560,0.843
23535371696126,1790087514.546349,1790087514.550435,0,-540.77,809.45,-1.17072,0.793
23535371719438,1790087514.554723,1790087514.558764,0,-542.70,806.36,-1.15101,0.790
23535371730974,1790087514.563214,1790087514.567187,0,-545.65,801.95,-1.16946,0.846
23535573516032,1790087514.673173,1790087514.677068,0,-569.98,745.34,-1.22806,0.755
23535573565387,1790087514.681471,1790087514.685565,0,-572.52,739.53,-1.24356,0.770
23535573569023,1790087514.689941,1790087514.693878,0,-574.30,734.43,-1.26023,0.754
23535573583666,1790087514.698393,1790087514.702538,0,-575.53,729.89,-1.24154,0.806
23535573586240,1790087514.706938,1790087514.711022,0,-578.00,725.33,-1.27011,0.878
23535573588665,1790087514.715281,1790087514.719360,0,-579.58,720.84,-1.28211,0.837
23535573591015,1790087514.723748,1790087514.727949,0,-581.49,715.33,-1.28518,0.766
23535573593502,1790087514.732151,1790087514.736325,0,-585.14,709.44,-1.30496,0.831
23535573595993,1790087514.740604,1790087514.744590,0,-586.29,705.26,-1.31198,0.794
23535573598317,1790087514.749140,1790087514.753414,0,-588.13,700.58,-1.31251,0.764
23535573600580,1790087514.757509,1790087514.761621,0,-591.37,694.40,-1.33391,0.805
23535573603238,1790087514.765975,1790087514.769976,0,-592.42,690.24,-1.33549,0.784
23535573605731,1790087514.774463,1790087514.778610,0,-595.37,685.71,-1.35494,0.888
23535672237546,1790087514.782870,1790087514.787043,0,-597.65,680.53,-1.33977,0.862
23535672314966,1790087514.791373,1790087514.795463,0,-599.58,676.30,-1.36523,0.813
23535672323495,1790087514.799777,1790087514.804079,0,-602.73,672.46,-1.35510,0.747
23535672329837,1790087514.808245,1790087514.813135,0,-603.80,665.75,-1.37303,0.867
23535672335650,1790087514.816711,1790087514.820754,0,-606.83,662.02,-1.39299,0.724
23535672341049,1790087514.825112,1790087514.829131,0,-608.64,657.45,-1.41106,0.825
23535672346513,1790087514.833569,1790087514.837680,0,-610.74,652.87,-1.43307,0.838
23535672352234,1790087514.841985,1790087514.845797,0,-614.35,647.28,-1.41969,0.787
23535672357344,1790087514.850469,1790087514.854746,0,-616.60,642.08,-1.44108,0.844
23535672362619,1790087514.858906,1790087514.862879,0,-618.30,637.78,-1.46449,0.755
23535672369476,1790087514.867455,1790087514.871630,0,-621.28,632.77,-1.48379,0.805
23535778085716,1790087514.875815,1790087514.879789,0,-624.42,628.16,-1.47413,0.791
23535778137510,1790087514.884280,1790087514.888197,0,-627.35,624.79,-1.50385,0.861
23535778146383,1790087514.892721,1790087514.896989,0,-628.70,619.62,-1.50849,0.830
23535778153407,1790087514.901170,1790087514.905421,0,-632.73,614.84,-1.53584,0.712
23535778159610,1790087514.909581,1790087514.913486,0,-635.35,609.85,-1.55309,0.816
23535778165567,1790087514.918076,1790087514.922022,0,-638.69,605.06,-1.58205,0.831
23535778171339,1790087514.926446,1790087514.930397,0,-640.27,601.55,-1.58527,0.837
23535778177334,1790087514.934980,1790087514.939396,0,-643.70,598.33,-1.60710,0.813
23535778183181,1790087514.943369,1790087514.947286,0,-647.44,592.54,-1.61148,0.913
23535778207335,1790087514.951878,1790087514.955863,0,-648.69,589.21,-1.62216,0.836
23535778213015,1790087514.960310,1790087514.964248,0,-652.45,585.40,-1.62060,0.777
23535778218539,1790087514.968764,1790087514.972846,0,-655.28,580.71,-1.63726,0.772
23535778224301,1790087514.977188,1790087514.981141,0,-656.67,577.80,-1.65358,0.748
23535986157620,1790087515.095470,1790087515.099484,0,-682.00,542.65,-1.54663,0.785
23535986235062,1790087515.120821,1790087515.124864,0,-683.95,536.83,-1.50502,0.851
23535986239660,1790087515.129313,1790087515.133410,0,-685.87,534.10,-1.49885,0.813
23535986242363,1790087515.137745,1790087515.144124,0,-687.28,532.87,-1.46844,0.733
23535986245039,1790087515.146248,1790087515.150505,0,-686.25,530.50,-1.46588,0.765
23535986247279,1790087515.154655,1790087515.158982,0,-686.94,526.97,-1.44282,0.774
23535986249529,1790087515.163099,1790087515.167349,0,-688.42,525.24,-1.44730,0.797
23535986251766,1790087515.171597,1790087515.178003,0,-687.45,522.47,-1.42937,0.778
23535986273513,1790087515.180050,1790087515.184150,0,-688.15,520.18,-1.41286,0.741
23536191970493,1790087515.340727,1790087515.345378,0,-666.60,473.63,-1.14780,0.791
23536192032715,1790087515.348982,1790087515.353717,0,-665.59,471.35,-1.15695,0.873
23536192041541,1790087515.357442,1790087515.361956,0,-663.55,468.20,-1.11946,0.819
23536192047753,1790087515.365871,1790087515.370126,0,-662.21,465.30,-1.10089,0.882
23536192053240,1790087515.374454,1790087515.378636,0,-659.66,462.18,-1.09357,0.888
23536192059443,1790087515.382721,1790087515.386887,0,-657.74,458.99,-1.09359,0.871
23536396417568,1790087515.492597,1790087515.496508,0,-629.83,418.81,-1.13263,0.864
23536396472595,1790087515.501067,1790087515.505318,0,-628.97,415.52,-1.13430,0.896
23536396592192,1790087515.509450,1790087515.513402,0,-627.13,411.85,-1.17329,0.885
23536396594886,1790087515.517953,1790087515.522174,0,-625.61,409.17,-1.17897,0.797
23536396597523,1790087515.526422,1790087515.530445,0,-624.46,405.37,-1.20135,0.817
23536396603566,1790087515.534859,1790087515.539106,0,-622.30,403.30,-1.20882,0.853
23536396606333,1790087515.543222,1790087515.547062,0,-622.13,400.92,-1.23268,0.915
23536396608858,1790087515.551773,1790087515.555802,0,-621.14,398.21,-1.24105,0.886
23536396611327,1790087515.560144,1790087515.564351,0,-620.67,394.48,-1.25234,0.887
23536396616665,1790087515.568647,1790087515.572818,0,-619.73,391.40,-1.29576,0.862
23536396619026,1790087515.577131,1790087515.581164,0,-619.36,388.91,-1.29157,0.884
23536396621287,1790087515.585515,1790087515.589557,0,-618.71,385.85,-1.31351,0.886
23536396637603,1790087515.593997,1790087515.598066,0,-618.51,384.21,-1.32854,0.938
23536490919107,1790087515.602450,1790087515.606607,0,-617.68,381.83,-1.34378,0.893
23536490999933,1790087515.610858,1790087515.614671,0,-618.79,378.30,-1.34754,0.895
23536491014593,1790087515.619358,1790087515.623511,0,-618.41,376.41,-1.37297,0.857
23536491022004,1790087515.627806,1790087515.632042,0,-617.64,374.56,-1.38157,0.880
23536491027763,1790087515.636243,1790087515.640482,0,-619.68,371.66,-1.41509,0.847
23536491033949,1790087515.644675,1790087515.648455,0,-619.52,369.97,-1.41557,0.853
23536491039217,1790087515.653137,1790087515.657478,0,-620.16,365.58,-1.43717,0.884
23536491044235,1790087515.661591,1790087515.665624,0,-620.12,364.83,-1.44240,0.859
23536491049998,1790087515.670033,1790087515.674280,0,-621.35,363.07,-1.47792,0.874
23536491055279,1790087515.678423,1790087515.682467,0,-622.19,360.18,-1.47790,0.816
23536491061725,1790087515.686965,1790087515.691065,0,-623.85,357.30,-1.48317,0.823
23536597074888,1790087515.695383,1790087515.699608,0,-625.38,355.52,-1.49977,0.940
23536597127414,1790087515.703871,1790087515.708189,0,-627.52,352.84,-1.51664,0.882
23536597135508,1790087515.712272,1790087515.716227,0,-628.25,350.24,-1.52339,0.871
23536597141630,1790087515.720740,1790087515.724703,0,-628.65,348.99,-1.52965,0.889
23536597167240,1790087515.729206,1790087515.733196,0,-631.20,346.01,-1.55256,0.888
23536597172771,1790087515.737643,1790087515.741807,0,-632.60,344.53,-1.56703,0.876
23536597178009,1790087515.746070,1790087515.750329,0,-633.77,341.93,-1.56050,0.895
23536597184079,1790087515.754540,1790087515.758806,0,-635.83,339.54,-1.56971,0.869
23536597189251,1790087515.762977,1790087515.766960,0,-639.20,336.22,-1.58601,0.857
23536597194413,1790087515.771422,1790087515.775799,0,-639.99,334.86,-1.59358,0.808
23536597199530,1790087515.779848,1790087515.783811,0,-641.58,332.79,-1.60054,0.860
23536597205368,1790087515.788335,1790087515.793081,0,-645.19,330.14,-1.61632,0.833
23536597211077,1790087515.796789,1790087515.801001,0,-647.04,327.75,-1.60825,0.879
23536806011391,1790087515.957398,1790087515.961542,0,-698.77,271.08,-1.47230,0.858
23536806077016,1790087515.965754,1790087515.970144,0,-701.41,267.09,-1.49297,0.895
23536806086034,1790087515.974404,1790087515.980963,0,-703.78,263.73,-1.46499,0.884
23536806093103,1790087515.982766,1790087515.987324,0,-706.98,258.60,-1.45334,0.908
23536806099019,1790087515.991119,1790087515.995128,0,-709.71,256.35,-1.43857,0.876
23537007107365,1790087516.109502,1790087516.114958,0,-741.92,209.39,-1.14796,0.862
